"ts_code","symbol","name","area","industry","cnspell","market","list_date","act_name","act_ent_type","delist_date","list_status","fullname","enname","exchange","curr_type","is_hs"
"002868.SZ","002868","*ST绿康","福建","农业综合","stlk","主板","20170503","","","","L","绿康生化股份有限公司","Lifecome Biochemistry Co.,Ltd.","SZSE","CNY","N"
"002869.SZ","002869","金溢科技","深圳","通信设备","jykj","主板","20170515","罗瑞发","民营企业","","L","深圳市金溢科技股份有限公司","Shenzhen Genvict Technologies Co., Ltd.","SZSE","CNY","S"
"002870.SZ","002870","香山股份","广东","汽车配件","xsgf","主板","20170515","","","","L","广东香山衡器集团股份有限公司","Guangdong Senssun Weighing Apparatus Group Ltd.","SZSE","CNY","N"
"002871.SZ","002871","伟隆股份","山东","机械基件","wlgf","主板","20170511","","","","L","青岛伟隆阀门股份有限公司","Qingdao Weflo Valve Co., Ltd.","SZSE","CNY","N"
"002872.SZ","002872","ST天圣","重庆","医药商业","stts","主板","20170519","刘群","民营企业","","L","天圣制药集团股份有限公司","Tiansheng Pharmaceutical Group Co., Ltd","SZSE","CNY","N"
"002873.SZ","002873","新天药业","贵州","中成药","xtyy","主板","20170519","","","","L","贵阳新天药业股份有限公司","Guiyang Xintian Pharmaceutical Co., Ltd.","SZSE","CNY","N"
"002875.SZ","002875","安奈儿","深圳","服饰","ane","主板","20170601","曹璋","民营企业","","L","深圳市安奈儿股份有限公司","Annil Co., Ltd","SZSE","CNY","N"
"002876.SZ","002876","三利谱","深圳","元器件","slp","主板","20170525","","","","L","深圳市三利谱光电科技股份有限公司","Shenzhen Sunnypol Optoelectronics Co.,Ltd.","SZSE","CNY","S"
"002877.SZ","002877","智能自控","江苏","机械基件","znzk","主板","20170605","","","","L","无锡智能自控工程股份有限公司","Wuxi Smart Auto-Control Engineering Co., Ltd.","SZSE","CNY","N"
"002878.SZ","002878","元隆雅图","北京","广告包装","ylyt","主板","20170606","","","","L","北京元隆雅图文化传播股份有限公司","Beijing Yuanlong Yato Culture Dissemination Co.,Ltd.","SZSE","CNY","N"
"002879.SZ","002879","长缆科技","湖南","电气设备","clkj","主板","20170707","","","","L","长缆科技集团股份有限公司","Chang Lan Technology Group Co.,Ltd.","SZSE","CNY","N"
"002880.SZ","002880","卫光生物","深圳","生物制药","wgsw","主板","20170616","深圳市光明区人民政府","地方国企","","L","深圳市卫光生物制品股份有限公司","Shenzhen Weiguang Biological Products Co.,Ltd","SZSE","CNY","S"
"002881.SZ","002881","美格智能","深圳","元器件","mgzn","主板","20170622","","","","L","美格智能技术股份有限公司","MeiG Smart Technology Co., Ltd","SZSE","CNY","S"
"002882.SZ","002882","金龙羽","深圳","电气设备","jly","主板","20170717","","","","L","金龙羽集团股份有限公司","Jinlongyu Group Co., Ltd.","SZSE","CNY","S"
"002883.SZ","002883","中设股份","江苏","建筑工程","zsgf","主板","20170620","陈凤军","民营企业","","L","江苏中设集团股份有限公司","Jiangsu Zhongshe Group Co., Ltd.","SZSE","CNY","N"
"002884.SZ","002884","凌霄泵业","广东","机械基件","lxby","主板","20170711","","","","L","广东凌霄泵业股份有限公司","Guangdong Lingxiao Pump Industry Co.,Ltd.","SZSE","CNY","S"
"002885.SZ","002885","京泉华","深圳","元器件","jqh","主板","20170627","张立品","民营企业","","L","深圳市京泉华科技股份有限公司","Shenzhen Jingquanhua Electronics Co.,Ltd.","SZSE","CNY","N"
"002886.SZ","002886","沃特股份","深圳","塑料","wtgf","主板","20170627","","","","L","深圳市沃特新材料股份有限公司","Shenzhen WOTE Advanced Materials Co.,Ltd.","SZSE","CNY","N"
"002887.SZ","002887","绿茵生态","天津","环境保护","lyst","主板","20170801","卢云慧","民营企业","","L","天津绿茵景观生态建设股份有限公司","Tianjin Lvyin Landscape and Ecology Construction Co., Ltd","SZSE","CNY","N"
"002888.SZ","002888","惠威科技","广东","元器件","hwkj","主板","20170721","HONGBO YAO","外资企业","","L","广东惠威电声科技股份有限公司","Hivi Acoustics Technology Co., Ltd.","SZSE","CNY","N"
"002889.SZ","002889","东方嘉盛","深圳","仓储物流","dfjs","主板","20170731","","","","L","深圳市东方嘉盛供应链股份有限公司","Shenzhen Easttop Supply Chain Management Co., Ltd.","SZSE","CNY","N"
"002890.SZ","002890","弘宇股份","山东","农用机械","hygf","主板","20170802","辛军","民营企业","","L","山东弘宇精机股份有限公司","Shandong Hongyu Precision Machinery Co., Ltd.","SZSE","CNY","N"
"002891.SZ","002891","中宠股份","山东","饲料","zcgf","主板","20170821","","","","L","烟台中宠食品股份有限公司","Yantai China Pet Foods Co., Ltd.","SZSE","CNY","S"
"002892.SZ","002892","科力尔","湖南","电气设备","kle","主板","20170817","聂鹏举","民营企业","","L","科力尔电机集团股份有限公司","Keli Motor Group Co.,Ltd.","SZSE","CNY","S"
"002893.SZ","002893","京能热力","北京","供气供热","jnrl","主板","20170915","北京市人民政府国有资产监督管理委员会","地方国企","","L","北京京能热力股份有限公司","Beijing Jingneng Thermal Co., Ltd.","SZSE","CNY","N"
"002895.SZ","002895","川恒股份","贵州","化工原料","chgf","主板","20170825","","","","L","贵州川恒化工股份有限公司","Guizhou Chanhen Chemical Corporation","SZSE","CNY","S"
"002896.SZ","002896","中大力德","浙江","机械基件","zdld","主板","20170829","","","","L","宁波中大力德智能传动股份有限公司","Ningbo Zhongda Leader Intelligent Transmission Co., Ltd.","SZSE","CNY","S"
"002897.SZ","002897","意华股份","浙江","元器件","yhgf","主板","20170907","无实际控制人","无","","L","温州意华接插件股份有限公司","Wenzhou Yihua Connector Co.,Ltd.","SZSE","CNY","S"
"002898.SZ","002898","*ST赛隆","广东","化学制药","stsl","主板","20170912","蔡南桂","民营企业","","L","赛隆药业集团股份有限公司","Sailong Pharmaceutical Group Co.,Ltd.","SZSE","CNY","N"
"002899.SZ","002899","英派斯","山东","文教休闲","yps","主板","20170915","","","","L","青岛英派斯健康科技股份有限公司","Impulse (Qingdao) Health Tech Co., Ltd.","SZSE","CNY","N"
"002900.SZ","002900","哈三联","黑龙江","化学制药","hsl","主板","20170922","","","","L","哈尔滨三联药业股份有限公司","Harbin Medisan Pharmaceutical Co., Ltd.","SZSE","CNY","N"
"002901.SZ","002901","大博医疗","福建","医疗保健","dbyl","主板","20170922","","","","L","大博医疗科技股份有限公司","Double Medical Technology Inc.","SZSE","CNY","S"
"002902.SZ","002902","铭普光磁","广东","通信设备","mpgc","主板","20170929","","","","L","东莞铭普光磁股份有限公司","Dongguan Mentech Optical & Magnetic Co., Ltd.","SZSE","CNY","S"
"002903.SZ","002903","宇环数控","湖南","机床制造","yhsk","主板","20171013","","","","L","宇环数控机床股份有限公司","Yuhuan Cnc Machine Tool Co.,Ltd.","SZSE","CNY","N"
"002905.SZ","002905","金逸影视","广东","影视音像","jyys","主板","20171016","","","","L","广州金逸影视传媒股份有限公司","Guangzhou Jinyi Media Corporation","SZSE","CNY","N"
"002906.SZ","002906","华阳集团","广东","汽车配件","hyjt","主板","20171013","","","","L","惠州市华阳集团股份有限公司","Foryou Corporation","SZSE","CNY","S"
"002907.SZ","002907","华森制药","重庆","中成药","hszy","主板","20171020","游洪涛","民营企业","","L","重庆华森制药股份有限公司","Chongqing Pharscin Pharmaceutical Co., Ltd.","SZSE","CNY","S"
"002908.SZ","002908","德生科技","广东","软件服务","dskj","主板","20171020","","","","L","广东德生科技股份有限公司","Guangdong Tecsun Science & Technology Co., Ltd","SZSE","CNY","N"
"002909.SZ","002909","集泰股份","广东","化工原料","jtgf","主板","20171026","","","","L","广州集泰化工股份有限公司","Guangzhou Jointas Chemical Co., Ltd.","SZSE","CNY","N"
"002910.SZ","002910","庄园牧场","甘肃","乳制品","zymc","主板","20171031","甘肃省人民政府国有资产监督管理委员会","地方国企","","L","兰州庄园牧场股份有限公司","Lanzhou Zhuangyuan Pasture Co.,Ltd.","SZSE","CNY","N"
"002911.SZ","002911","佛燃能源","广东","供气供热","frny","主板","20171122","佛山市人民政府国有资产监督管理委员会","地方国企","","L","佛燃能源集团股份有限公司","Foran Energy Group Co., Ltd.","SZSE","CNY","S"
"002912.SZ","002912","中新赛克","深圳","IT设备","zxsk","主板","20171121","深圳市人民政府国有资产监督管理委员会","地方国企","","L","深圳市中新赛克科技股份有限公司","Shenzhen Sinovatio Technology Co., Ltd.","SZSE","CNY","N"
"002913.SZ","002913","奥士康","湖南","元器件","ask","主板","20171201","","","","L","奥士康科技股份有限公司","Aoshikang Technology Co.,Ltd.","SZSE","CNY","S"
"002915.SZ","002915","中欣氟材","浙江","化工原料","zxfc","主板","20171205","","","","L","浙江中欣氟材股份有限公司","Zhejiang Zhongxin Fluoride Materials Co.,Ltd","SZSE","CNY","N"
"002916.SZ","002916","深南电路","深圳","元器件","sndl","主板","20171213","","","","L","深南电路股份有限公司","Shennan Circuits Co.,Ltd.","SZSE","CNY","S"
"002917.SZ","002917","金奥博","深圳","化工原料","jab","主板","20171208","","","","L","深圳市金奥博科技股份有限公司","Shenzhen King Explorer Science and Technology Corporation","SZSE","CNY","N"
"002918.SZ","002918","蒙娜丽莎","广东","陶瓷","mnls","主板","20171219","","","","L","蒙娜丽莎集团股份有限公司","Monalisa Group Co.,Ltd.","SZSE","CNY","N"
"002919.SZ","002919","名臣健康","广东","互联网","mcjk","主板","20171218","","","","L","名臣健康用品股份有限公司","Mingchen Health Co.,Ltd.","SZSE","CNY","N"
"002920.SZ","002920","德赛西威","广东","汽车配件","dsxw","主板","20171226","","","","L","惠州市德赛西威汽车电子股份有限公司","Huizhou Desay SV Automotive Co., Ltd.","SZSE","CNY","S"
